Tempo,Pot. Ativa,FP,FR,FNL
431.243,1.84,0.25,0.91,-0.03
431.247,1.84,0.25,0.91,-0.03
431.25,1.84,0.25,0.91,-0.03
431.254,1.84,0.25,0.91,-0.03
431.258,1.84,0.25,0.91,-0.03
431.261,1.84,0.25,0.91,-0.03
431.265,1.84,0.25,0.91,-0.03
431.269,1.84,0.25,0.91,-0.03
431.272,1.84,0.25,0.91,-0.03
431.276,1.84,0.25,0.91,-0.03
431.28,1.84,0.25,0.91,-0.03
431.283,1.84,0.25,0.91,-0.03
431.287,1.84,0.25,0.91,-0.03
431.291,1.84,0.25,0.91,-0.03
431.295,1.85,0.25,0.91,-0.03
431.298,1.85,0.25,0.91,-0.03
431.302,1.85,0.25,0.91,-0.03
431.306,1.85,0.25,0.91,-0.03
431.309,1.85,0.25,0.91,-0.03
431.313,1.85,0.25,0.91,-0.03
431.317,1.85,0.25,0.91,-0.03
431.32,1.85,0.25,0.91,-0.03
431.324,1.85,0.25,0.9,-0.03
431.328,1.85,0.25,0.9,-0.03
431.332,1.85,0.25,0.9,-0.03
431.335,1.85,0.25,0.9,-0.03
431.339,1.85,0.25,0.9,-0.03
431.343,1.85,0.25,0.9,-0.03
431.346,1.85,0.25,0.9,-0.03
431.35,1.85,0.25,0.9,-0.03
431.354,1.85,0.25,0.9,-0.03
431.357,1.85,0.25,0.9,-0.03
431.361,1.85,0.25,0.9,-0.03
431.365,1.85,0.25,0.9,-0.03
431.369,1.85,0.25,0.9,-0.03
431.372,1.85,0.25,0.9,-0.03
431.376,1.85,0.25,0.9,-0.03
431.38,1.85,0.25,0.9,-0.03
431.383,1.85,0.25,0.9,-0.03
431.387,1.85,0.25,0.9,-0.03
431.391,1.85,0.25,0.9,-0.03
431.394,1.85,0.25,0.9,-0.03
431.398,1.85,0.25,0.9,-0.03
431.402,1.85,0.25,0.9,-0.03
431.405,1.86,0.25,0.9,-0.03
431.409,1.86,0.25,0.9,-0.03
431.413,1.86,0.25,0.9,-0.03
431.417,1.86,0.25,0.9,-0.03
431.42,1.86,0.25,0.9,-0.03
431.424,1.86,0.25,0.9,-0.03
431.428,1.86,0.25,0.9,-0.03
431.431,1.86,0.25,0.9,-0.03
431.435,1.86,0.25,0.9,-0.03
431.439,1.86,0.25,0.9,-0.03
431.442,1.86,0.25,0.9,-0.03
431.446,1.86,0.25,0.9,-0.03
431.45,1.86,0.25,0.9,-0.03
431.454,1.86,0.25,0.91,-0.03
431.457,1.86,0.25,0.91,-0.03
431.461,1.86,0.25,0.91,-0.03
431.465,1.86,0.25,0.91,-0.03
431.468,1.86,0.25,0.91,-0.03
431.472,1.86,0.25,0.91,-0.03
431.476,1.86,0.25,0.91,-0.03
431.479,1.86,0.25,0.91,-0.03
431.483,1.86,0.25,0.91,-0.03
431.487,1.86,0.25,0.91,-0.03
431.49,1.86,0.25,0.91,-0.03
431.494,1.86,0.25,0.91,-0.03
431.498,1.86,0.25,0.91,-0.03
431.502,1.86,0.25,0.91,-0.03
431.505,1.85,0.25,0.91,-0.03
431.509,1.85,0.25,0.91,-0.03
431.513,1.85,0.25,0.91,-0.03
431.516,1.85,0.25,0.91,-0.03
431.52,1.85,0.25,0.91,-0.03
431.524,1.85,0.25,0.91,-0.03
431.527,1.85,0.25,0.91,-0.03
431.531,1.85,0.25,0.91,-0.03
431.535,1.85,0.25,0.91,-0.03
431.539,1.85,0.25,0.91,-0.03
431.542,1.85,0.25,0.91,-0.03
431.546,1.85,0.25,0.91,-0.03
431.55,1.85,0.25,0.91,-0.03
431.553,1.85,0.25,0.91,-0.03
431.557,1.85,0.25,0.91,-0.03
431.561,1.85,0.25,0.91,-0.03
431.564,1.85,0.25,0.91,-0.03
431.568,1.85,0.25,0.91,-0.03
431.572,1.85,0.25,0.91,-0.03
431.576,1.85,0.25,0.91,-0.03
431.579,1.85,0.25,0.91,-0.03
431.583,1.86,0.25,0.91,-0.03
431.587,1.86,0.25,0.91,-0.03
431.59,1.86,0.25,0.91,-0.03
431.594,1.86,0.25,0.91,-0.03
431.598,1.86,0.25,0.91,-0.03
431.601,1.86,0.25,0.91,-0.03
431.605,1.86,0.25,0.91,-0.03
431.609,1.86,0.25,0.91,-0.03
431.612,1.86,0.25,0.91,-0.03
431.616,1.86,0.25,0.91,-0.03
431.62,1.86,0.25,0.91,-0.03
431.624,1.86,0.25,0.91,-0.03
431.627,1.86,0.25,0.91,-0.03
431.631,1.86,0.25,0.91,-0.03
431.635,1.86,0.25,0.91,-0.03
431.638,1.86,0.25,0.91,-0.03
431.642,1.86,0.25,0.91,-0.03
431.646,1.86,0.25,0.91,-0.03
431.649,1.86,0.25,0.91,-0.03
431.653,1.86,0.25,0.91,-0.03
431.657,1.86,0.25,0.91,-0.03
431.661,1.86,0.25,0.91,-0.03
431.664,1.86,0.25,0.91,-0.03
431.668,1.86,0.25,0.91,-0.03
431.672,1.86,0.25,0.91,-0.03
431.675,1.86,0.25,0.91,-0.03
431.679,1.86,0.25,0.91,-0.03
431.683,1.86,0.25,0.91,-0.03
431.686,1.86,0.25,0.91,-0.03
431.69,1.86,0.25,0.91,-0.03
431.694,1.86,0.25,0.91,-0.03
431.697,1.86,0.25,0.91,-0.03
431.701,1.86,0.25,0.91,-0.03
431.705,1.86,0.25,0.91,-0.03
431.709,1.86,0.25,0.91,-0.03
431.712,1.86,0.25,0.91,-0.03
431.716,1.86,0.25,0.91,-0.03
431.72,1.86,0.25,0.91,-0.03
431.723,1.86,0.25,0.91,-0.03
431.727,1.86,0.25,0.91,-0.03
431.731,1.85,0.25,0.91,-0.03
431.734,1.85,0.25,0.91,-0.03
