Tempo,PA
0.0,3.68
0.002999999999985903,1.85
0.004000000000019099,1.83
0.007000000000005002,1.85
0.007999999999924512,1.83
0.010999999999967258,1.83
0.011000000000024102,1.85
0.014999999999986358,3.68
0.01799999999997226,1.85
0.019000000000005457,1.83
0.021999999999934516,1.82
0.02199999999999136,1.85
0.025999999999953616,1.82
0.02600000000001046,1.85
0.028999999999996362,1.85
0.029999999999972715,1.82
0.03300000000001546,1.85
0.033999999999991815,1.82
0.036999999999920874,1.82
0.03699999999997772,1.86
0.040000000000020464,1.86
0.04099999999993997,1.82
0.04399999999998272,1.86
0.04499999999995907,1.82
0.04800000000000182,3.68
0.05199999999990723,1.82
0.05200000000002092,1.86
0.05500000000000682,1.86
0.05599999999992633,1.82
0.05899999999996908,1.82
0.05900000000002592,1.86
0.06299999999998818,3.68
0.06599999999997408,1.86
0.06700000000000728,1.82
0.06999999999993634,1.82
0.06999999999999318,1.86
0.07399999999995543,1.82
0.07400000000001228,1.86
0.07699999999999818,1.86
0.07799999999997453,1.82
0.08100000000001728,1.86
0.08199999999999363,1.82
0.08499999999992269,1.82
0.08499999999997954,1.86
0.08800000000002228,1.86
0.08899999999994179,1.82
0.09199999999998454,1.86
0.09299999999996089,1.82
0.09600000000000364,3.68
0.09999999999990905,1.82
0.10000000000002274,1.86
0.10300000000000864,1.86
0.10399999999992815,1.82
0.1069999999999709,3.68
0.11099999999999,3.68
0.1139999999999759,1.86
0.1150000000000091,1.82
0.117999999999995,1.86
0.11899999999991451,1.82
0.12199999999995725,1.82
0.1220000000000141,1.86
0.125,1.86
0.12599999999997635,1.82
0.1290000000000191,1.86
0.12999999999999545,1.82
0.1329999999999245,1.82
0.13299999999998136,1.86
0.1369999999999436,1.82
0.13700000000000045,1.85
0.13999999999998636,1.85
0.1409999999999627,1.82
0.14400000000000546,3.67
0.14799999999991087,1.82
0.14800000000002456,1.85
0.15100000000001046,1.85
0.15199999999992997,1.82
0.15499999999997272,1.85
0.15599999999994907,1.82
0.15899999999999181,3.67
0.16199999999997772,1.85
0.16300000000001091,1.82
0.16599999999999682,1.85
0.16699999999991633,1.82
0.16999999999995907,1.82
0.17000000000001592,1.85
0.17300000000000182,1.85
0.17399999999997817,1.82
0.17700000000002092,1.85
0.17799999999999727,1.82
0.18099999999992633,1.82
0.18099999999998317,1.85
0.18499999999994543,1.82
0.18500000000000227,1.85
0.18799999999998818,1.85
0.18899999999996453,1.82
0.19200000000000728,3.67
0.1959999999999127,1.82
0.19599999999996953,1.85
0.19900000000001228,1.85
0.1999999999999318,1.82
0.20299999999997453,1.85
0.2039999999999509,1.82
0.20699999999999363,3.67
0.20999999999997954,1.85
0.21100000000001273,1.82
0.21399999999999864,1.85
0.21499999999991815,1.82
0.2179999999999609,1.82
0.21800000000001774,1.85
0.22199999999998,3.67
0.22500000000002274,1.85
0.2259999999999991,1.82
0.22899999999992815,1.82
0.228999999999985,1.85
0.23299999999994725,1.82
0.2330000000000041,1.85
0.23599999999999,1.85
0.23699999999996635,1.82
0.2400000000000091,1.85
0.24099999999998545,1.82
0.2439999999999145,1.82
0.24399999999997135,1.85
0.2470000000000141,1.85
0.2479999999999336,1.82
0.25099999999997635,1.85
0.2519999999999527,1.82
0.25499999999999545,3.67
0.25799999999998136,1.85
0.25900000000001455,1.82
0.26200000000000045,1.85
0.26299999999991996,1.82
0.2659999999999627,1.82
0.26600000000001955,1.85
0.2699999999999818,3.67
0.27300000000002456,1.85
0.2740000000000009,1.82
0.27699999999992997,1.82
0.2769999999999868,1.85
0.28099999999994907,1.82
0.2810000000000059,1.85
0.2839999999999918,1.85
0.28499999999996817,1.82
0.2880000000000109,1.85
0.28899999999998727,1.82
0.2919999999999163,1.82
0.29199999999997317,1.85
0.2950000000000159,1.85
0.2959999999999354,1.82
0.29899999999997817,1.85
0.2999999999999545,1.82
0.30299999999999727,3.67
0.30700000000001637,3.67
0.3100000000000023,1.85
0.3109999999999218,1.82
0.31399999999996453,1.82
0.3140000000000214,1.85
0.31799999999998363,3.67
0.32099999999996953,1.85
0.32200000000000273,1.82
0.32499999999998863,1.85
0.32599999999990814,1.82
0.3289999999999509,1.82
0.32900000000000773,1.85
0.33199999999999363,1.85
0.33299999999997,1.82
0.33600000000001273,1.85
0.3369999999999891,1.82
0.33999999999991815,1.82
0.339999999999975,1.86
0.34300000000001774,1.86
0.34399999999993724,1.82
0.34699999999998,1.86
0.34799999999995634,1.82
0.3509999999999991,3.68
0.3550000000000182,3.68
0.3580000000000041,1.86
0.3589999999999236,1.82
0.36199999999996635,1.82
0.3620000000000232,1.86
0.36599999999998545,3.68
0.36899999999997135,1.86
0.37000000000000455,1.82
0.37299999999999045,1.86
0.37399999999990996,1.82
0.3769999999999527,1.82
0.37700000000000955,1.86
0.37999999999999545,1.86
0.3809999999999718,1.82
0.38400000000001455,1.86
0.3849999999999909,1.82
0.38799999999991996,1.82
0.3879999999999768,1.86
0.39199999999993906,1.82
0.3919999999999959,1.86
0.3949999999999818,1.86
0.39599999999995816,1.82
0.3990000000000009,3.68
0.4029999999999063,1.82
0.40300000000002,1.86
0.4060000000000059,1.86
0.4069999999999254,1.82
0.410000000000025,1.86
0.4109999999999445,1.82
0.41399999999998727,3.68
0.41699999999997317,1.86
0.41800000000000637,1.82
0.42099999999999227,1.86
0.4219999999999118,1.82
0.4249999999999545,1.82
0.42500000000001137,1.86
0.42799999999999727,1.85
0.4289999999999736,1.82
0.43200000000001637,1.86
0.4329999999999927,1.82
0.4359999999999218,1.82
0.4359999999999786,1.85
0.4399999999999409,1.82
0.4399999999999977,1.86
0.44299999999998363,1.86
0.44399999999996,1.82
0.44700000000000273,3.68
0.45099999999990814,1.82
0.45100000000002183,1.86
0.45400000000000773,1.86
0.45499999999992724,1.82
0.45799999999997,1.86
0.45899999999994634,1.82
0.4619999999999891,3.68
0.464999999999975,1.86
0.4660000000000082,1.82
0.4689999999999941,1.86
0.4699999999999136,1.82
0.47299999999995634,1.82
0.4730000000000132,1.86
0.47699999999997544,3.68
0.4800000000000182,1.86
0.48099999999999454,1.82
0.4839999999999236,1.82
0.48399999999998045,1.86
0.4879999999999427,1.82
0.48799999999999955,1.86
0.49099999999998545,1.86
0.4919999999999618,1.82
0.49500000000000455,1.86
0.4959999999999809,1.82
0.49899999999990996,1.82
0.49900000000002365,1.86
0.5020000000000095,1.86
0.5029999999999291,1.82
0.5059999999999718,1.86
0.5069999999999482,1.82
0.5099999999999909,3.68
0.5129999999999768,1.86
0.51400000000001,1.82
0.5169999999999959,1.85
0.5179999999999154,1.82
0.5209999999999582,1.82
0.521000000000015,1.85
0.5249999999999773,3.67
0.52800000000002,1.85
0.5289999999999964,1.82
0.5319999999999254,1.82
0.5319999999999823,1.85
0.5359999999999445,1.82
0.5360000000000014,1.85
0.5389999999999873,1.85
0.5399999999999636,1.82
0.5430000000000064,1.85
0.5439999999999827,1.82
0.5469999999999118,1.82
0.5470000000000255,1.85
0.5500000000000114,1.84
0.5509999999999309,1.82
0.5539999999999736,1.84
0.55499999999995,1.82
0.5579999999999927,3.66
0.5620000000000118,3.66
0.5649999999999977,1.84
0.5659999999999172,1.82
0.56899999999996,1.82
0.5690000000000168,1.84
0.5729999999999791,3.66
0.5760000000000218,1.84
0.5769999999999982,1.82
0.5799999999999841,1.84
0.5810000000000173,1.82
0.5839999999999463,1.82
0.5840000000000032,1.84
0.5869999999999891,1.84
0.5879999999999654,1.82
0.5910000000000082,1.84
0.5919999999999845,1.82
0.5949999999999136,1.82
0.5949999999999704,1.84
0.5980000000000132,1.84
0.5989999999999327,1.82
0.6019999999999754,1.84
0.6029999999999518,1.82
0.6059999999999945,3.66
0.6100000000000136,3.67
0.6129999999999995,1.85
0.613999999999919,1.82
0.6169999999999618,1.82
0.6170000000000186,1.85
0.6209999999999809,3.67
0.6240000000000236,1.85
0.625,1.82
0.6279999999999859,1.85
0.6290000000000191,1.82
0.6319999999999482,1.82
0.632000000000005,1.85
0.6349999999999909,1.85
0.6359999999999673,1.82
0.63900000000001,1.85
0.6399999999999864,1.81
0.6429999999999154,1.81
0.6429999999999723,1.85
0.6469999999999345,1.81
0.6469999999999914,1.85
0.6499999999999773,1.85
0.6509999999999536,1.81
0.6539999999999964,3.66
0.6580000000000155,3.66
0.6610000000000014,1.85
0.6619999999999209,1.81
0.6650000000000205,1.85
0.66599999999994,1.81
0.6689999999999827,3.66
0.6720000000000255,1.85
0.6730000000000018,1.81
0.6759999999999877,1.85
0.6769999999999072,1.81
0.67999999999995,1.81
0.6800000000000068,1.85
0.6839999999999691,1.81
0.6840000000000259,1.85
0.6870000000000118,1.85
0.6879999999999882,1.82
0.6909999999999172,1.82
0.6909999999999741,1.85
0.6949999999999363,1.82
0.6949999999999932,1.85
0.6979999999999791,1.85
0.6989999999999554,1.82
0.7019999999999982,3.67
0.7060000000000173,3.67
0.7090000000000032,1.85
0.7099999999999227,1.82
0.7130000000000223,1.85
0.7139999999999418,1.82
0.7169999999999845,3.67
0.7199999999999704,1.86
0.7210000000000036,1.82
0.7239999999999895,1.86
0.724999999999909,1.82
0.7279999999999518,1.82
0.7280000000000086,1.86
0.7319999999999709,3.68
0.7350000000000136,1.86
0.73599999999999,1.82
0.738999999999919,1.82
0.7389999999999759,1.86
0.7429999999999382,1.82
0.742999999999995,1.86
0.7459999999999809,1.86
0.7469999999999573,1.82
0.75,1.86
0.7509999999999764,1.82
0.7540000000000191,3.68
0.757000000000005,1.86
0.7579999999999245,1.82
0.7610000000000241,1.86
0.7619999999999436,1.82
0.7649999999999864,3.68
0.7690000000000055,3.68
0.7719999999999914,1.86
0.7729999999999109,1.82
0.7759999999999536,1.82
0.7760000000000105,1.86
0.7799999999999727,3.68
0.7830000000000155,1.86
0.7839999999999918,1.82
0.7869999999999209,1.82
0.7869999999999777,1.86
0.79099999999994,1.82
0.7909999999999968,1.86
0.7939999999999827,1.86
0.7949999999999591,1.82
0.7980000000000018,1.86
0.7989999999999782,1.82
0.8019999999999072,1.82
0.8020000000000209,1.86
0.8050000000000068,1.86
0.8059999999999263,1.82
0.8090000000000259,1.86
0.8099999999999454,1.82
0.8129999999999882,3.68
0.8170000000000073,3.68
0.8199999999999932,1.85
0.8209999999999127,1.82
0.8239999999999554,1.82
0.8240000000000123,1.85
0.8279999999999745,3.68
0.8310000000000173,1.85
0.8319999999999936,1.83
0.8349999999999795,1.85
0.8360000000000127,1.83
0.8389999999999418,1.83
0.8389999999999986,1.85
0.8419999999999845,1.85
0.8429999999999609,1.83
0.8460000000000036,1.85
0.84699999999998,1.83
0.849999999999909,1.83
0.8500000000000227,1.85
0.8539999999999281,1.83
0.853999999999985,1.85
0.8569999999999709,1.85
0.8579999999999472,1.83
0.86099999999999,3.68
0.8650000000000091,3.68
0.867999999999995,1.85
0.8689999999999145,1.83
0.8720000000000141,1.85
0.8729999999999336,1.83
0.8759999999999764,3.68
0.8790000000000191,1.85
0.8799999999999955,1.83
0.8829999999999814,1.85
0.8840000000000146,1.83
0.8869999999999436,1.83
0.8870000000000005,1.85
0.8909999999999627,1.83
0.8910000000000196,1.85
0.8940000000000055,1.85
0.8949999999999818,1.83
0.8979999999999109,1.83
0.8980000000000246,1.86
0.90199999999993,1.83
0.9019999999999868,1.86
0.9049999999999727,1.86
0.9059999999999491,1.83
0.9089999999999918,3.6900000000000004
0.9130000000000109,3.6900000000000004
0.9159999999999968,1.86
0.9169999999999163,1.83
0.9200000000000159,1.86
0.9209999999999354,1.83
0.9239999999999782,3.6900000000000004
0.9270000000000209,1.86
0.9279999999999973,1.83
0.9309999999999832,1.86
0.9320000000000164,1.83
0.9349999999999454,1.83
0.9350000000000023,1.86
0.9389999999999645,1.83
0.9390000000000214,1.86
0.9420000000000073,1.86
0.9429999999999836,1.83
0.9459999999999127,1.83
0.9459999999999695,1.86
0.9499999999999318,1.83
0.9499999999999886,1.86
0.9529999999999745,1.86
0.9539999999999509,1.83
0.9569999999999936,3.6900000000000004
0.9610000000000127,3.6900000000000004
0.9639999999999986,1.86
0.9649999999999181,1.83
0.9680000000000177,1.86
0.9689999999999372,1.83
0.97199999999998,3.6900000000000004
0.9759999999999991,3.6900000000000004
0.978999999999985,1.86
0.9800000000000182,1.83
0.9829999999999472,1.83
0.9830000000000041,1.86
0.9869999999999663,1.83
0.9870000000000232,1.86
0.9900000000000091,1.86
0.9909999999999854,1.83
0.9939999999999145,1.83
0.9939999999999714,1.86
0.9979999999999336,1.83
0.9979999999999905,1.86
1.0009999999999764,1.86
1.0019999999999527,1.83
1.0049999999999955,1.86
1.0059999999999718,1.83
1.0090000000000146,3.6900000000000004
1.0120000000000005,1.86
1.01299999999992,1.83
1.0160000000000196,1.86
1.016999999999939,1.83
1.0199999999999818,3.6900000000000004
1.024000000000001,3.6900000000000004
1.0269999999999868,1.86
1.0279999999999063,1.83
1.030999999999949,1.83
1.031000000000006,1.86
1.0349999999999682,1.83
1.035000000000025,1.86
1.038000000000011,1.86
1.0389999999999873,1.83
1.0419999999999163,1.83
1.0419999999999732,1.86
1.0459999999999354,1.83
1.0459999999999923,1.85
1.0489999999999782,1.85
1.0499999999999545,1.83
1.0529999999999973,1.85
1.0539999999999736,1.83
1.0570000000000164,3.68
1.0609999999999218,1.83
1.0609999999999786,1.85
