Timestamp,Dado
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298280"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298284"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298288"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298291"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298295"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298299"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298302"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298306"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298310"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298314"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298317"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298321"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298325"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298328"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298332"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298336"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298339"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298343"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298347"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298350"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298354"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298358"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298362"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298365"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298369"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298373"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298376"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298380"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298384"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298387"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298391"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298395"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298399"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298402"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298406"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298410"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298413"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298417"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298421"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298424"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298428"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298432"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298435"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298439"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298443"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298447"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298450"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298454"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298458"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298461"
2025-04-09 15:25:23,"1.80,0.26,0.90,-0.02 - 298465"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298469"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298472"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298476"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298480"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298484"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298487"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298491"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298495"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298498"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298502"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298506"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298509"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298513"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298517"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298520"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298524"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298528"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298532"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298535"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298539"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298543"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298546"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298550"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298554"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298557"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298561"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298565"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298569"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298572"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298576"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298580"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298583"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298587"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298591"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298594"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298598"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298602"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298605"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298609"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298613"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298617"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298620"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298624"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298628"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298631"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298635"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298639"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298642"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298646"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298650"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298653"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298657"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298661"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298665"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298668"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298672"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 298676"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298679"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298683"
